,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Wijk 03 Brunssum-Oost,20.8,48.4,6.9
,Wijk 04 Brunssum-Zuid,25.1,32.2,15.5
,Wijk 05 Brunssum-Centrum,25.7,48,12
GM0907,Gennep,25.7,34,19.9
,Wijk 00 Milsbeek,28.4,24.5,26.8
,Wijk 01 Ottersum,26.5,31,23.5
,Wijk 02 Ven-Zelderheide,25.7,27.4,22.9
,Wijk 03 Gennep,24.7,38.8,16.5
,Wijk 04 Heijen,25.4,31,21.4
GM0917,Heerlen,23.7,54.2,9.6
,Wijk 10 Maria Gewanden en Terschuren,23.7,52.3,9.7
,Wijk 11 Mariarade,24.3,43.9,12.1
,Wijk 12 Hoensbroek-De Dem,20.7,64.8,5.4
,Wijk 13 Nieuw Lotbroek,22.3,45.9,10.3
,Wijk 14 De Koumen,27.4,43.7,12.7
,Wijk 20 Vrieheide-De Stack,19.4,59.5,5.8
,Wijk 21 Heerlerheide-Passart,19.5,65.7,4.2
,Wijk 22 Heksenberg,23.1,43.2,9
,Wijk 23 De Hei,.,.,.
,Wijk 24 Rennemig-Beersdal,21.3,49.4,8.4
,Wijk 30 Zeswegen-Nieuw Husken,21.1,49.5,8.5
,Wijk 31 Schandelen-Grasbroek,22.4,60.5,6.9
,Wijk 32 Meezenbroek-Schaesbergerveld,20.5,61.6,7.1
,Wijk 33 Heerlen-Centrum,27.6,62.1,8
,Wijk 34 Eikenderveld,21.7,63.9,3.4
,Wijk 35 Woonboulevard-Ten Esschen,31.4,.,.
,Wijk 36 Welten-Benzenrade,32.2,34.8,19.8
,Wijk 37 Bekkerveld,29.5,44.6,17.7
,Wijk 38 Caumerveld-Douve Weien,32.4,42.4,18.7
,Wijk 39 Molenberg,22.3,59.4,10.9
,Wijk 40 Heerlerbaan-Centrum,20.3,68.9,3.2
,Wijk 41 Heerlerbaan-Schil,29.2,33.4,19.9
,Wijk 42 De Beitel,.,.,.
GM0928,Kerkrade,23.1,50.8,9.6
,Wijk 00 Kerkrade-West,23,47.3,9.9
,Wijk 01 Kerkrade-Oost,22.4,57.2,8.3
,Wijk 02 Kerkrade-Noord,24.3,45.2,11.1
GM0935,Maastricht,25.7,55.2,12.8
,Wijk 00 Centrum,28.7,65.5,10.4
,Wijk 01 Buitenwijk Zuidwest,39.7,30,33.8
,Wijk 02 Buitenwijk West,21.8,58.8,8.7
,Wijk 03 Buitenwijk Noordwest,23.3,55.3,9.3
,Wijk 04 Buitenwijk Oost,24.7,56.2,13.1
,Wijk 05 Buitenwijk Noordoost,25.9,40.5,14.5
,Wijk 06 Buitenwijk Zuidoost,25.9,48.2,14
GM0938,Meerssen,29.5,32,23.9
,Wijk 00 Meerssen,27.8,41.1,18.4
,Wijk 01 Ulestraten,29.9,24.6,26.1
,Wijk 02 Bunde - Geulle,31,25.6,28.5
GM0944,Mook en Middelaar,30.9,29.4,27.7
,Wijk 00 Mook,31.1,30.3,27.4
,Wijk 01 Middelaar,30.2,24.2,29.3
GM0946,Nederweert,26.3,32.4,23.1
,Wijk 01 Nederweert,26.3,35.8,21.4
,Wijk 02 Budschop,27.2,30.6,22.6
,Wijk 03 Ospel,25.7,29.3,25.4
,Wijk 04 Nederweert-Eind,27.9,21.9,28
,Wijk 05 Leveroy,25.6,33.3,22.2
GM0957,Roermond,25.6,44.9,15
,Wijk 00 Centrum,31.4,51,14.6
,Wijk 01 Roermond-Oost,21.8,61.4,7.3
,Wijk 02 Roermond-Zuid,23.2,48.7,11.9
,Wijk 03 Maasniel,25.8,42.3,17.6
,Wijk 04 Donderberg,18,55.6,6.7
,Wijk 05 Hoogvonderen,24.4,33.5,13.4
,Wijk 06 Asenray,29,28.2,24.5
,Wijk 07 Herten,30.5,20.9,31.7
,Wijk 08 Swalmen,25.1,37.1,15.6
,Wijk 09 Maasplassen,27.6,.,.
GM0965,Simpelveld,25.8,38.2,16.5
,Wijk 00 Simpelveld,26.2,40.7,15.6
,Wijk 01 Bocholtz,25.3,35.5,17.6
GM0971,Stein,26.7,35.6,17.5
,Wijk 00 Stein,25.7,39.8,15.6
,Wijk 01 Elsloo,27.7,30.4,20.3
,Wijk 02 Urmond,27.2,34.6,17.3
GM0981,Vaals,25,50.9,13.2
,Wijk 00 Vijlen-Lemiers,27.2,36.7,20.5
,Wijk 01 Vaals,24.2,55.7,10.8
GM0983,Venlo,24.3,44.3,14.3
,Wijk 11 Venlo-Centrum,27.8,58.1,9.3
,Wijk 12 Venlo-Zuid,23.5,46.5,12.4
,Wijk 13 Venlo-Oost-Noord,28.5,37.4,20.2
,Wijk 14 Venlo-Noord,22.1,58.7,8.7
,Wijk 15 Venlo-Oost-Zuid,24.3,52.2,14.1
,Wijk 16 Het Ven,30,22.5,31.3
,Wijk 21 Blerick-Midden,21.9,56,8.8
,Wijk 22 Blerick-Noord,19.2,49.4,8.6
,Wijk 23 Blerick-Zuid,21,60.5,7.1
,Wijk 24 Vossener,21.4,31.9,12.5
,Wijk 25 Klingerberg,21.9,39.7,10.6
,Wijk 26 Hout-Blerick,30.3,17.1,32.4
,Wijk 27 Boekend,27.4,22.3,27.3
,Wijk 28 Trade-Port,26.4,36.6,21.4
,Wijk 31 Tegelen-Centrum,24.8,42.3,14.8
,Wijk 32 Op de Hei,21.1,43.8,9.4
,Wijk 35 Steyl,25.3,41.3,17.3
,Wijk 41 Velden,26.3,30.3,20.4
,Wijk 43 Lomm,25,32.2,21.7
,Wijk 44 Arcen,26.6,33.2,19.2
,Wijk 51 Belfeld,24,36.2,17.1
GM0984,Venray,25.8,35.7,19.7
,Heide,29.4,23,28.5
,Ysselsteyn,27.4,31.1,28.3
,Merselo,25.4,25.9,25.7
,Vredepeel,27.2,.,.
,Smakt,28,.,.
,Oostrum,26.9,27,25.1
,Oirlo,27,29.2,26.9
,Castenray,26.1,25.2,29.3
,Veulen,25.9,26.5,31
,Leunen,26.6,22.4,29.3
,Centrum,28.2,54.2,9.3
,Oost,26.8,43.1,19.4
,West,23.3,58.2,7.2
,Vlakwater,38.1,10.6,47.8
,Veltum,27.8,34.4,19.5
,Brukske,18.6,48.7,7.4
,Landweert,24.6,29,17.3
,Smakterheide,26.6,38.7,19.5
,Brabander,31.3,16,39.4
,St. Antoniusveld,28.1,23.5,30
,Wanssum,25.2,26.3,20.2
,Geijsteren,27.1,28.9,22.2
,Blitterswijck,26.2,29.3,20.4
GM0986,Voerendaal,28.4,32.1,22.8
,Wijk 01 Voerendaal,26,36.6,19.1
,Wijk02 Kunrade,29.4,32.3,23.3
,Wijk 03 Ubachsberg,27.1,33.5,20.9
,Wijk 04 Klimmen,29.6,29.1,25.5
,Wijk 05 Ransdaal,28.2,26.7,24.7
,Wijk 09 Verspreide huizen Voerendaal,34.8,22.8,30.3
GM0988,Weert,26.2,37.6,19.2
,Wijk 01 Boshoven,26.6,27.8,23.9
,Wijk 02 Laar en Hushoven,28.8,23.9,37.8
,Wijk 03 Molenakker en Kampershoek,30.8,18.7,35.2
,Wijk 11 Weert-Centrum,27.8,57.3,10.3
,Wijk 12 Biest,25.9,36.6,15.7
,Wijk 13 Groenewoud,22.6,49.1,8.4
,Wijk 14 Fatima,24,47.2,11.1
,Wijk 21 Keent,22.3,51.9,10.4
,Wijk 22 Moesel,23.8,40.5,15.6
,Wijk 23 Graswinkel,26,34.2,21
,Wijk 24 Leuken,25.7,26.9,21.7
,Wijk 25 Kazernelaan,39.6,16.4,40.5
,Wijk 31 Altweerterheide,28.6,25.1,29.5
,Wijk 32 Tungelroy,29.1,28.6,27.9
,Wijk 33 Swartbroek,27.5,26.3,26.3
,Wijk 34 Stramproy,25.3,34.9,21.1
GM0994,Valkenburg aan de Geul,27.7,41.2,18.7
,Wijk 00: Valkenburg,27.1,50.5,13.8
,Wijk 01: Houthem - Sint Gerlach,29.5,38.5,19.3
,Wijk 02: Schin op Geul - Oud-Valkenburg,27.5,33.1,24.4
,Wijk 03: Sibbe - IJzeren,26.8,31.8,19.4
,Wijk 04: Berg en Terblijt - Vilt,28.4,28.6,26
,Wijk 05: Walem,26.9,.,.
GM0995,Lelystad,24.5,39,17.3
,Zuiderzeewijk,20.1,52.4,9.1
,Atolwijk,21.5,45.2,12
,Boswijk,23.8,38.1,13.3
,Waterwijk-Landerijen,25.5,35.8,24.6
,Bolder,20.8,47.8,9.9
,Kustwijk,27.1,29.7,22.2
,Havendiep,25.9,34.8,20
,Lelystad-Haven,30.2,30,25.1
,Stadshart,25.3,69.7,4.4
,Buitengebied,32.3,24.4,50.5
,Warande,25.4,17.8,22.4
GM1507,Horst aan de Maas,26.2,31.6,22.3
,Wijk 00 Griendtsveen,28.9,25.4,21.9
,Wijk 01 America,25.3,32,24.4
,Wijk 02 Meterik,26.3,28.2,30.4
,Wijk 03 Hegelsom,26.5,24.9,27.6
,Wijk 04 Horst,26.1,37,19.3
,Wijk 05 Melderslo,25.1,27.3,27.3
,Wijk 06 Broekhuizen,26.2,29.4,22.8
,Wijk 07 Lottum,26.1,29.2,22.7
,Wijk 08 Grubbenvorst,26.7,29.5,20.1
,Wijk 09 Broekhuizen,25.8,28.1,24.7
,Wijk 10 Sevenum,26.4,31.8,23.6
,Wijk 11 Kronenberg,27.5,21.4,30.6
,Wijk 12 Evertsoord,29.9,.,.
,Wijk 13 Meerlo,26.1,25.5,20.6
,Wijk 14 Tienray,24,31.6,17.9
,Wijk 15 Swolgen,25.4,28.2,25
GM1509,Oude IJsselstreek,23.6,38.6,16.9
,Wijk 00 Ulft-Etten,23.4,38,16.8
,Wijk 01 Overig Gendringen,23.8,36.5,19.2
,Wijk 02 Silvolde-Terborg,22.7,43.3,13.6
,Wijk 03 Varsseveld,24.8,35.5,19.4
GM1525,Teylingen,31.2,28.2,30.3
,Voorhout Oude Dorp,27.5,31.6,23
,Voorhout Oosthout,33.3,14.4,44.4
,Voorhout Hooghkamer,31.7,18.7,36.1
,Voorhout Buiten,32.2,24.3,31.3
,Sassenheim Midden,31.3,27.6,28
,Sassenheim Oost,27.3,34.9,22.9
,Sassenheim Zuid,39.8,.,.
,Sassenheim West,31.7,34.9,26.6
,Sassenheim buiten,.,.,.
,Warmond,34.3,34,29.8
,Warmond buiten,33.2,31.9,29.4
GM1581,Utrechtse Heuvelrug,31.9,31.9,29.2
,Doorn,34.1,32.9,30.9
,Driebergen,32.1,34.2,29.4
,Leersum,30.4,32.5,26.3
,Amerongen,27.8,31.8,25
,Maarn,34.2,22.1,34.4
GM1586,Oost Gelre,26.1,31.3,21.4
,Wijk 01 Lichtenvoorde,25.6,31.1,19.8
,Wijk 02 Harreveld,26.7,24.3,30.6
,Wijk 03 Zieuwewnt,25.9,25.5,27.7
,Wijk 04 Lievelde,26.4,22.5,31.3
,Wijk 05 Vragender,25.8,23.9,35.4
,Wijk 06 Groenlo,26.7,35.3,18.6
,Wijk 07 Marienvelde,24.1,29.7,23.1
GM1598,Koggenland,26.7,27.6,26.9
,Obdam,26.4,26.6,27.5
,Hensbroek,27.2,27.4,27.1
,Spierdijk,27.9,27,27.1
,Zuidermeer,28.7,18.8,33
,Berkhout,27.5,25.3,29.4
,Ursem,26.8,27.2,27.8
,De Goorn,25,31.1,24.2
,Avenhorn,26.3,28.4,25.3
,Scharwoude,28.2,34.4,18.8
,Oudendijk,30.2,25.9,36.2
GM1621,Lansingerland,30.9,22.7,37.1
,Wijk 11 Bergschenhoek,26.1,31.8,23.4
,Wijk 12 De Ackers,33.5,16.5,47.2
,Wijk 13 Boterdorp,30.5,21.8,37.6
,Wijk 14 Wilderszijde,.,.,.
,Wijk 15 Oosteindsche Polder,35.5,15,43.4
,Wijk 21 Berkel,27,37.8,20.5
,Wijk 22 Noordpolder,28.5,27.8,24.4
,Wijk 23 Meerpolder,30.3,19.9,38.8
,Wijk 24 Noordeinde,33.4,19.7,43
,Wijk 25 Zuidpolder,30.3,20.4,39.3
,Wijk 26 De Wadden,35.4,7.9,56.4
,Wijk 27 Westpolder,36.7,13.3,58.3
,Wijk 28 Rodenrijs,35.8,17.5,44.1
,Wijk 31 Bleiswijk,28.4,32.4,28.4
,Wijk 32 Hoekeindse Zoom,29.3,21.8,34.4
,Wijk 33 Bleiswijk Buiten,32.2,17.5,44.6
GM1640,Leudal,26.8,31.3,22.1
,Heythuysen,27,34.4,20
,Heibloem,28,30.3,23.5
,Roggel,27,31.2,23.4
,Neer,25.7,33,22.3
,Nunhem,26.3,31.5,21.4
,Haelen,25.8,36,16.8
,Buggenum,27.3,32,24.5
,Horn,28.1,27,22.7
,Baexem,26.5,31,24.2
,Kelpen-Oler,26.8,27.9,25.4
,Grathem,27.5,24.4,24.6
,Ell,27.6,23.3,30
,Haler,29.4,26.3,31.3
,Hunsel,28,32,29.3
,Neeritter,25.4,34.7,18.7
,Ittervoort,26.6,25.9,21.3
GM1641,Maasgouw,27.5,33.5,21.2
,Wijk 00 Maasbracht,26.3,38.4,19.2
,Wijk 01 Linne,28.2,33.7,22.2
,Wijk 02 Stevensweert,28,32.2,23.9
,Wijk 03 Ohé en Laak,28.4,31.8,24.7
,Wijk 04 Thorn,26.9,37.3,19.4
,Wijk 05 Heel,29.5,26.8,23.8
,Wijk 06 Beegden,28.3,24.9,22.5
,Wijk 07 Wessem,25.6,32.1,19.6
GM1652,Gemert-Bakel,25.4,34.4,22
,Wijk 00 Gemert,24.8,36.5,20
,Wijk 01 Handel,25.4,36,24.2
,Wijk 02 De Mortel,26.4,26.2,32.2
,Wijk 03 Elsendorp,25.4,33.5,26.5
,Wijk 04 Bakel,26.2,34,20.8
,Wijk 05 Milheeze,26.4,27.2,28.2
,Wijk 06 De Rips,25.9,28.5,25.3
GM1655,Halderberge,26.4,35.1,21.9
,Wijk 01 Oud Gastel,27,29.8,24.7
,Wijk 02 Stampersgat,25.7,35.1,19.9
,Wijk 03 Oudenbosch,24.7,40.1,17.2
,Wijk 04 Hoeven,28.5,32.5,26.8
,Wijk 05 Bosschenhoofd,28.7,28.7,27.5
GM1658,Heeze-Leende,30.6,25.8,31
,Wijk 00 Heeze,30.6,26.8,29.8
,Wijk 01 Leende,30.7,24.9,32.3
,Wijk 02 Leenderstrijp,29.3,16.5,45.1
,Wijk 03 Sterksel,30.5,24.3,32
GM1659,Laarbeek,26.1,31.6,23.4
,Wijk 00 Beek en Donk,25.2,35.4,19.7
,Wijk 01 Aarle-Rixtel,26.4,29.6,24.3
,Wijk 02 Lieshout,28.2,28.2,29.2
,Wijk 03 Mariahout,25.5,22.1,30.2
GM1667,Reusel-De Mierden,26.9,28.4,24.5
,Wijk 00 Reusel,25.9,29.4,21.9
,Wijk 01 Hooge Mierde,28.5,25.8,29.2
,Wijk 02 Lage Mierde,29.1,29,30.3
,Wijk 03 Hulsel,28.6,21,30.2
GM1669,Roerdalen,26.5,34.2,18.3
,Montfort,26.8,33,22.3
,Sint Odiliënberg,26.7,33.4,18.3
,Melick,27.4,31.1,20.8
,Posterholt,25.1,36,15
,Herkenbosch,27.3,34.4,17.9
,Vlodrop,25.4,38.1,15.4
GM1674,Roosendaal,25.9,39.4,18.1
,Wijk 00 Centrum,27.5,51.8,11.3
,Wijk 01 Oost,24.5,46.1,13.7
,Wijk 02 Noord,21.9,48.8,12.5
,Wijk 03 West,22.7,53.8,9.3
,Wijk 04 Groot Kroeven,23.8,44.5,12.6
,Wijk 05 Langdonk,21.7,37.3,13.4
,Wijk 06 Kortendijk,27.6,28.2,22.9
,Wijk 07 Tolberg,30.1,24,30.9
,Wijk 08 Industriegebieden,31.2,27.4,34.2
,Wijk 10 Nispen,26.2,37,24.7
,Wijk 11 Wouw,27.7,29.1,25.7
,Wijk 12 Heerle,28.1,28.6,23.8
,Wijk 13 Moerstraten,31.1,21.1,37
,Wijk 14 Wouwse Plantage,28.6,29.1,33.5
GM1676,Schouwen-Duiveland,27.1,35.5,20.4
,Wijk 00 Zierikzee,26.5,41.5,17.2
,Wijk 01 Brouwershaven,25.9,44.2,12.7
,Wijk 02 Zonnemaire,29,27.5,25.6
,Wijk 03 Dreischor,27.7,34.6,23.5
,Wijk 04 Noordgouwe,31.9,24.4,31.8
,Wijk 05 Bruinisse,27.3,31.5,24
,Wijk 06 Nieuwerkerk,24.3,29.4,22.4
,Wijk 07 Oosterland,23.7,31.2,20.2
,Wijk 08 Ouwerkerk,26.5,34,17.7
,Wijk 09 Scharendijke,27.4,32.2,17.9
,Wijk 10 Kerkwerve,24.9,32.9,23.5
,Wijk 11 Ellemeet,28.2,37.4,23.3
,Wijk 12 Haamstede,30.6,29.9,23
,Wijk 13 Renesse,30.4,37.6,22.9
,Wijk 14 Noordwelle,27.9,31.5,25.9
,Wijk 15 Serooskerke,27,36.3,18.5
GM1680,Aa en Hunze,27.2,32.5,22.4
,Wijk 00 Annen,28.5,29.8,24.6
,Wijk 01 Eext,26.7,31.3,21.5
,Wijk 02 Anloo,28,37.2,20.2
,Wijk 03 Gasteren,31.5,15.9,33.5
,Wijk 04 Anderen,31.3,23.3,32
,Wijk 05 Schipborg,32.8,25.1,32.9
,Wijk 06 Eexterveen,29,18.1,32.4
,Wijk 07 Spijkerboor,27.3,.,.
,Wijk 08 Nieuw-Annerveen,26.9,.,.
,Wijk 09 Oud-Annerveen,29.5,.,.
,Wijk 11 Annerveenschekanaal,28,27.9,25
,Wijk 12 Eexterveenschekanaal,24,37.9,6.5
,Wijk 13 Eexterzandvoort,32.5,.,.
,Wijk 14 Gasselte,26.7,37.3,19.6
,Wijk 15 Gasselternijveen,21.8,41.1,12.1
,Wijk 16 Gasselternijveenschemond,25.9,36.4,21.5
,Wijk 17 Gieten,26.4,36.9,20.2
,Wijk 18 Gieterveen,25,33.6,21.1
,Wijk 19 Rolde,28,31.1,22.3
,Wijk 20 Grolloo,29.4,28.4,30.2
,Wijk 21 Ekehaar,29.1,17.7,35.9
GM1681,Borger-Odoorn,24.7,35.7,17
,Valthe,27.2,28.4,23
,Valthermond,22.7,39.2,13.6
,Westdorp,25.3,.,.
,Zandberg,.,.,.
,1e Exloërmond,24.5,33.3,17
,2e Exloërmond,21.7,37.6,11.9
,2e Valthermond,23.6,.,.
,Borger,25.3,39.2,15.5
,Bronneger,35.1,.,.
,Bronnegerveen,.,.,.
,Buinen,27,24.5,27.9
,Buinerveen,27.8,23.8,25
,Drouwen,28.7,22.8,25.9
,Drouwenermond,23.1,28.1,21.7
,Drouwenerveen,25.6,23.6,21.7
,Ees,29.3,30.8,24.4
,Eesergroen,28.9,.,.
,Eeserveen,25.5,.,.
,Ellertshaar,.,.,.
,Exloërveen,.,.,.
,Exloo,27.9,31.4,20.1
,Klijndijk,26.5,29.3,18.3
,Nieuw-Buinen,21.7,41.8,12.9
,Odoorn,26.8,33.7,18.6
,Odoornerveen,29,26.6,27.2
GM1690,De Wolden,26.2,30.8,23.7
,Wijk 00 Zuidwolde,25.9,34.4,22.8
,Wijk 01 Alteveer,25.1,24.5,25.4
,Wijk 02 Kerkenveld,23.9,21.7,25.8
,Wijk 03 Drogteropslagen,26.9,22.6,32.8
,Wijk 04 Linde,29.1,24.7,29.8
,Wijk 05 Fort,28.9,20.9,29.1
,Wijk 06 Veeningen,23.8,26.7,22.6
,Wijk 07 Echten,26.8,26.4,27.1
,Wijk 08 Ruinen,26,33.1,20.8
,Wijk 09 Eursinge,.,.,.
,Wijk 10 Ansen,29.4,25.4,29.1
,Wijk 11 Ruinerwold,25.4,30.4,24.6
,Wijk 12 Koekange,27.1,30.1,24.4
,Wijk 13 De Wijk,27.3,31.7,22.6
GM1695,Noord-Beveland,26.3,36.7,16.4
,Wijk 00 Kortgene,27.1,33.9,17.7
,Wijk 01 Colijnsplaat,24.4,40.2,13.1
,Wijk 02 Kats,31.1,30.6,20.9
,Wijk 03 Kamperland,26.8,35.4,20
,Wijk 04 Wissenkerke,24.8,39.5,12.9
,Wijk 05 Geersdijk,25.7,40.7,10.2
GM1696,Wijdemeren,32,29.6,31.2
,Wijk 00 's-Graveland,34.8,36.2,25
,Wijk 01 Kortenhoef,30.6,30.6,29
,Wijk 02 Ankeveen,31.7,24,33.2
,Wijk 03 Loosdrecht,38.5,28.1,36.9
,Wijk 04 Nieuw-Loosdrecht,31.5,30,31.1
,Wijk 05 Breukeleveen,50.6,.,.
,Wijk 06 Nederhorst den Berg,30.7,28.5,32.1
GM1699,Noordenveld,26.4,33.7,20
,Wijk 00 Roden,25.4,36.1,17.4
,Wijk 01 Roden,29.1,28.3,27.2
,Wijk 03 Norg,26.3,34.8,19.7
,Wijk 04 Norg,28.4,23.7,30.1
,Wijk 06 Peize,28.6,26.8,26.3
GM1700,Twenterand,22.3,34.4,18.5
,Vriezenveen (kern),23.1,32.8,20.1
,Westerhaar-Vriezenveensewijk,20.4,42.5,14.6
,Den Ham,23.4,27.8,22.6
,Vroomshoop,21.2,37.4,14.4
,Buitengebied Vriezenveen Noord,22.9,25.6,31.9
,Buitengebied Vriezenveen Zuid,25.8,.,.
GM1701,Westerveld,26.5,34.1,20.3
,Wijk 00 Diever,26.7,36.4,20.5
,Wijk 01 Wapse,26.9,24.5,27.5
,Wijk 02 Zorgvlied,27.2,38.1,16.8
,Wijk 03 Dwingeloo,25.5,37,19.1
,Wijk 04 Lhee,33.4,18.7,40.9
,Wijk 05 Eemster,30.7,22.1,35.2
,Wijk 06 Geeuwenbrug,29.6,28.4,29.4
,Wijk 07 Dieverbrug,30.3,31.2,28.3
,Wijk 08 Havelte,26.7,34.2,18.9
,Wijk 09 Uffelte,25.7,28.5,22.6
,Wijk 10 Wapserveen,27.9,24.6,26.6
,Wijk 11 Vledder,26,36.5,14.7
,Wijk 12 Frederiksoord,26.1,40.6,18.8
,Wijk 13 Nijensleek,23.9,32.7,27.1
,Wijk 14 Vledderveen,26.1,28.8,20.6
,Wijk 15 Wilhelminaoord,21.5,45.5,8.7
,Wijk 16 Doldersum,24.4,.,.
,Wijk 17 Boschoord,.,.,.
GM1705,Lingewaard,26.6,31.2,22.8
,Bemmel,28,28.9,25.5
,Gendt,24.3,36.1,19.4
,Huissen,27,31.1,21.8
,Loo Gld,.,.,.
,Angeren,26.3,30,25.8
,Doornenburg,25.7,30.8,23.2
,Haalderen,24,32.4,22
,Ressen,31.3,.,.
GM1706,Cranendonck,26.7,31.6,22.1
,Wijk 00 Budel,26.1,35.2,21
,Wijk 01 Schoot,23.2,40.6,15.6
,Wijk 02 Dorplein,24.4,28.6,16.4
,Wijk 03 Maarheeze,29.6,26.6,26.3
,Wijk 04 Soerendonk,27.3,23.5,27.3
,Wijk 05 Gastel,25.7,19.1,27.2
GM1708,Steenwijkerland,24.1,37.9,17.4
,Steenwijk,22.8,46,12.1
,Oldemarkt,24.6,31.5,17.6
,Kalenberg,33,32.8,29.3
,Kuinre,22.2,36.2,18.9
,Blankenham,26.2,23.4,22.7
,Scheerwolde,24.7,35.5,19.4
,Vollenhove,23.2,37.4,15.8
,Sint Jansklooster,23.4,27.4,25.8
,Belt-Schutsloot,25.7,22.2,28.7
,Wanneperveen,26.3,28.4,22.6
,Blokzijl,23.7,36,19.3
,Giethoorn,28.4,35,25.5
,Zuidveen,22.5,34.3,15.5
,Onna,24.6,30.6,26.1
,Kallenkote,27.5,22.1,32.7
,Eesveen,24.4,26.8,26.8
,De Bult,24.9,51.8,20.1
,Baars,.,.,.
,Witte Paarden,22.1,.,.
,De Pol,25.4,.,.
,Willemsoord,23.6,30.4,23.5
,Marijenkampen,24.8,.,.
,Tuk,26.7,19.5,23.7
,Steenwijkerwold,23.7,44.3,14.7
,Basse,27.3,.,.
,Paasloo,29.9,20.1,30.5
,IJsselham,.,.,.
,Ossenzijl,24.4,30.3,18.7
,Wetering,30.7,.,.
,Nederland,.,.,.
,Baarlo,.,.,.
GM1709,Moerdijk,27.5,33.6,22.6
,Wijk 00 Zevenbergen,27.6,34,21.4
,Wijk 01 Zevenbergschen Hoek,28.3,32.2,25.6
,Wijk 02 Langeweg,29,29.5,29.8
,Wijk 03 Klundert,25.5,35,20.8
,Wijk 04 Moerdijk,25.8,38.7,17.6
,Wijk 05 Noordhoek,29,21.9,34.2
,Wijk 06 Standdaarbuiten,27.2,29.1,24.5
,Wijk 07 Fijnaart,26.7,36.2,21.1
,Wijk 08 Heijningen,30.2,31.3,25
,Wijk 09 Willemstad,31.4,28.6,30.5
,Wijk 10 Helwijk,26.3,40.6,15.8
GM1711,Echt-Susteren,26.8,35.8,19.1
,Wijk 01 Susteren,26.9,37.5,17.9
,Wijk 02 Dieteren,28.3,32.2,24.6
,Wijk 03 Heide,25.7,30.8,20.6
,Wijk 04 Roosteren,27.8,35.8,19.3
,Wijk 05 Echt,26.4,42.3,17.5
,Wijk 06 Maria Hoop,27.9,28.1,22.9
,Wijk 07 Peij,26.4,36.9,17.5
,Wijk 08 Slek,25.8,30.1,20.7
,Wijk 09 Nieuwstadt,27.7,27.1,21.1
,Wijk 10 Sint Joost,27.5,23.6,27.5
,Wijk 11 Koningsbosch,25,34.6,18.9
GM1714,Sluis,26,40.8,17.2
,Wijk 00 Sluis,25,43.7,18.7
,Wijk 01 Retranchement,26.8,40.7,20.7
,Wijk 02 Aardenburg,25,44,17.6
,Wijk 03 Eede,23.7,40.4,18.8
,Wijk 04 Sint Kruis,30.4,.,.
,Wijk 05 Oostburg,24.8,44,13.6
,Wijk 06 Zuidzande,24.7,40.4,17.6
,Wijk 07 Cadzand,27.2,43.4,18.8
,Wijk 08 Nieuwvliet,27,34.4,26.5
,Wijk 09 Groede,27.2,39.8,19.3
,Wijk 10 Breskens,26.9,41.7,16.7
,Wijk 11 Hoofdplaat,27.7,41.2,15.4
,Wijk 12 IJzendijke,27.7,32.7,20.5
,Wijk 13 Schoondijke,24.2,35.3,13.9
,Wijk 14 Waterlandkerkje,28.9,33,18.5
GM1719,Drimmelen,28,29.8,25.3
,Drimmelen,36,20.5,34.9
,Made,26.7,32.4,22.7
,Terheijden,28.5,27.6,25.6
,Wagenberg,29.2,21.9,34.2
,Hooge Zwaluwe en Zevenbergschen Hoek,29.9,24.1,29.5
,Lage Zwaluwe,28.6,32.6,25.6
GM1721,Bernheze,26.9,28.7,27.6
,Kern Heesch,26.9,29.8,24.9
,Kern Heeswijk-Dinther,27,28.6,25.3
,Kern Nistelrode,25.7,30.8,26.6
,Buitengebied Heesch,31.5,17.4,47.3
,Buitengebied Heeswijk-Dinther,27.1,28.4,34.7
,Buitengebied Nistelrode,26.6,23.2,32.9
GM1723,Alphen-Chaam,28.5,26.8,30.3
,Alphen,27.3,28,28.2
,Chaam,28.2,27.6,29.4
,Strijbeek,31.2,24.3,39
,Galder,31.4,23.2,35.3
,Ulvenhout AC,35.9,18.3,44.4
,Bavel AC,.,.,.
GM1724,Bergeijk,27.9,27.5,26.8
,Wijk 00 Bergeijk 't Hof,26.8,29.7,23.5
,Wijk 01 Weebosch,26.5,22.4,26.7
,Wijk 02 Luyksgestel,26.2,29,23
,Wijk 03 Riethoven,31.4,22.7,34.4
,Wijk 04 Westerhoven,27.7,26.7,27.1
,Wijk 05 Bergeijk 't Loo,28.9,22.7,28
,Wijk 06 Buitengebied,30.9,25.5,37
GM1728,Bladel,26.8,29.9,23.8
,Wijk 00 Bladel,26.3,31.8,21.9
,Wijk 01 Netersel,28,23,31
,Wijk 02 Hapert,27,30.3,24
,Wijk 03 Hoogeloon,27.9,26.6,27.5
,Wijk 04 Casteren,27.3,20,29.6
GM1729,Gulpen-Wittem,27.4,36,20.6
,Wijk 00 Gulpen,27.1,43.5,19.3
,Wijk 01 Wijlre,26.7,35.1,18.5
,Wijk 02 Eys,29.3,27.3,24.9
,Wijk 03 Wittem,26.9,30.1,17.7
